A -- 1-3,Manufacturer,Series,B -- 4-9,IEC Contactor,Screw Terminals,Spring Terminals,Max Current,Current Rating,Features,Contacts,Coil Voltages,Optional Overload Relays,Optional Accessories,Standards/Certifications,Terminal Coil AC Voltages,Terminal Coil DC Voltages,Contact Assignment Type
,,,K05ZS400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 125V,400
,,,K05ZA400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 220V,400
,,,K05ZT400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 250V,400
,,,KR05KJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 24V 50/60Hz,-,400
,,,KR05D400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 110V 50Hz/ 120V 60Hz,-,400
,,,KR05KF400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 230V 50/60Hz,-,400
,,,KR05ZJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V,400
,,,KR05DJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V with Integrated Diode,400
,,,KR05ZD400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 110V,400
,,,K09KJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 24 V 50/60 Hz,-,400
,,,K09D400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 110V 50Hz/ 120V 60Hz,-,400
,,,K09KF400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 230V 50/60Hz,-,400
,,,K09KA400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 240V 50/60 Hz,-,400
,,,K09KN400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 400V 50/60Hz,-,400
,,,K09B400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 480V 60Hz,-,400
,,,K09VC400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 600V 60Hz,-,400
,,,K09ZQ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 12V,400
,,,K09ZJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V,400
,,,K09DJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V with Integrated Diode,400
,,,K09ZD400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 110V,400
,,,K09ZS400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 125V,400
,,,K09ZA400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 220V,400
,,,K09ZT400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 250V,400
,,,KR09KJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 24V 50/60Hz,-,400
,,,KR09D400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 110V 50Hz/ 120V 60Hz,-,400
,,,KR09KF400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 230V 50/60Hz,-,400
,,,KR09ZJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V,400
,,,KR09DJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V with Integrated Diode,400
,,,KR09ZD400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 110V,400
,,,K12KJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 24 V 50/60 Hz,-,400
,,,K12D400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 110V 50Hz/ 120V 60Hz,-,400
,,,K12KF400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 230V 50/60Hz,-,400
,,,K12KA400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 240V 50/60 Hz,-,400
,,,K12KN400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 400V 50/60Hz,-,400
,,,K12B400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 480V 60Hz,-,400
,,,K12VC400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",screw type terminal 600V 60Hz,-,400
,,,K12ZQ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 12V,400
,,,K12ZJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V,400
,,,K12DJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 24V with Integrated Diode,400
,,,K12ZD400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 110V,400
,,,K12ZS400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 125V,400
,,,K12ZA400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 220V,400
,,,K12ZT400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,screw type terminal 250V,400
,,,KR12KJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 24V 50/60Hz,-,400
,,,KR12D400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 110V 50Hz/ 120V 60Hz,-,400
,,,KR12KF400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",spring clamp type terminal 230V 50/60Hz,-,400
,,,KR12ZJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V,400
,,,KR12DJ400,IEC Contactor,Yes,5...9 A,12A,5...12A,"Mini-contactors, Uniform panel mounting dimensions, Panel mounting or mounting on 35 mm DIN Rail, AC or DC coil control, Made of environmentally friendly materials","3 power poles with internal N.O. or N.C. auxiliary contact, or 4 power poles. Optional front-mounted 2- or 4- pole external auxiliary contact block.","AC = 24...600V, 50/60Hz DC = 12...250V",Electronic or bimetallic,"Front-mount auxiliary contacts, Surge suppressors, Electronic Timers, Mechanical interlocks","UL, CSA, IEC, CE Marked, CCC",-,spring clamp type terminal 24V with Integrated Diode,400
